pelicula,pelicula_año,episodio,link_letterboxd
Evil Eye,2020,El glory hole de Hoy Trasnoche,https://letterboxd.com/film/evil-eye-2020/
Nocturne,2020,El glory hole de Hoy Trasnoche,https://letterboxd.com/film/nocturne-2020/
Borat Subsequent Moviefilm,2020,Never go full Santiago del Estero,https://letterboxd.com/film/borat-subsequent-moviefilm/
His House,2020,Bacheo y repavimentación,https://letterboxd.com/film/his-house/
Boss Level,2021,El episodio Mel Gibson,https://letterboxd.com/film/boss-level/
Fatman,2020,El episodio Mel Gibson,https://letterboxd.com/film/fatman/
Tenet,2020,AGNOROP YOH,https://letterboxd.com/film/tenet/
Mank,2020,El Ventura de Welles,https://letterboxd.com/film/mank/
Run,2020,A todos nos puede aparecer un hermano,https://letterboxd.com/film/run-2020/
Black Bear,2020,Para vos las fiestas son como Tinder,https://letterboxd.com/film/black-bear/
Nobody,2021,DANIEL NO MORE,https://letterboxd.com/film/nobody-2021/
Willy's Wonderland,2021,Mirá cómo te hago el muertito de Seven,https://letterboxd.com/film/willys-wonderland/
In the Earth,2021,La caca invisible,https://letterboxd.com/film/in-the-earth/
Oxygen,2021,Pajas en el desierto,https://letterboxd.com/film/oxygen-2021/
Violation,2020,Pajas en el desierto,https://letterboxd.com/film/violation-2020/
Seance,2021,Me atrasé con el AB/DL,https://letterboxd.com/film/seance-2021/
Spiral: From the Book of Saw,2021,Simulacro de poronga,https://letterboxd.com/film/spiral-from-the-book-of-saw/
Bo Burnham: Inside,2021,"Sí, no o tal vez",https://letterboxd.com/film/bo-burnham-inside/
The Conjuring: The Devil Made Me Do It,2021,"Sí, no o tal vez",https://letterboxd.com/film/the-conjuring-the-devil-made-me-do-it/
Shiva Baby,2020,Sin Thetans no hay paraíso,https://letterboxd.com/film/shiva-baby-2020/
Censor,2021,La fueguina más famosa (ahora sí),https://letterboxd.com/film/censor-2021/
A Quiet Place Part II,2020,¿Qué onda los monstruos y las conchas?,https://letterboxd.com/film/a-quiet-place-part-ii/
No Sudden Move,2021,Mucha labia,https://letterboxd.com/film/no-sudden-move/
Gunpowder Milkshake,2021,Primos de trineo,https://letterboxd.com/film/gunpowder-milkshake/
