episodio,pelicula,pelicula_año,link_letterboxd,fecha,imagen_url,duracion_ms,tipo,episodio_url
44: Nolan te lo filma con un pañal en la boca,Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,2024-05-28,https://i1.sndcdn.com/artworks-ieh3MlYmG3pUPt9w-fBNQqw-t500x500.jpg,5976000,pago,https://hoytrasnoche.com/vip/
45: Ojo que se te ve la humanidad,Red Rooms,2023,https://letterboxd.com/film/red-rooms/,2024-06-04,https://i1.sndcdn.com/artworks-q8LVzwWoBhlTtrTb-Mz84XQ-t500x500.jpg,4700000,pago,https://hoytrasnoche.com/vip/
46: La Myriam Bregman menos pensada,Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,2024-06-11,https://i1.sndcdn.com/artworks-21nLGr3kzHJl8HxL-DavVUA-t500x500.jpg,4939000,pago,https://hoytrasnoche.com/vip/
47: Russell Crowe es el Iorio que nos quedó vivo,I Saw the TV Glow,2024,https://letterboxd.com/film/i-saw-the-tv-glow/,2024-06-18,https://i1.sndcdn.com/artworks-4TTD0APbrO3ghkpA-ji0CBw-t500x500.jpg,3753000,pago,https://hoytrasnoche.com/vip/
48: Te sentís el caniche de The Medium cuando salís,Handling the Undead,2024,https://letterboxd.com/film/handling-the-undead/,2024-06-25,https://i1.sndcdn.com/artworks-gbZ3ufCspEvj8txu-t9Wecw-t500x500.jpg,4057000,pago,https://hoytrasnoche.com/vip/
49: Por algo hay una sola Hardcore Henry,In a Violent Nature,2024,https://letterboxd.com/film/in-a-violent-nature/,2024-07-02,https://i1.sndcdn.com/artworks-yddPxHtNVUs64Gvl-Xo8S1Q-t500x500.jpg,3962000,pago,https://hoytrasnoche.com/vip/
50: Parecés Carlín fumando con el láser,Beverly Hills Cop: Axel F,2024,https://letterboxd.com/film/beverly-hills-cop-axel-f/,2024-07-09,https://i1.sndcdn.com/artworks-qKYiS0y3ORyBi3Aj-zWmMbA-t500x500.jpg,4091000,pago,https://hoytrasnoche.com/vip/
51: Vas a cagar ahí igual,The Exorcism,2024,https://letterboxd.com/film/the-exorcism-2024/,2024-07-16,https://i1.sndcdn.com/artworks-Xc8MYLL3JpIzcRzY-Mj03jQ-t500x500.jpg,3994000,pago,https://hoytrasnoche.com/vip/
52: La Bruja parece un desfile en Uruguay,The Devil’s Bath,2024,https://letterboxd.com/film/the-devils-bath/,2024-07-24,https://i1.sndcdn.com/artworks-nbBoEjnHEpLgTYj3-Y1AGzw-t500x500.jpg,4055000,pago,https://hoytrasnoche.com/vip/
53: Una democracia robusta en toda Latinoamérica,Kill,2023,https://letterboxd.com/film/kill-2023-1/,2024-07-30,https://i1.sndcdn.com/artworks-7ymR8LIDbWvNJcuj-UiaZDQ-t500x500.jpg,4366000,pago,https://hoytrasnoche.com/vip/
54: Te venden la bombacha usada de la Princesa Mononoke,Starve Acre,2023,https://letterboxd.com/film/starve-acre/,2024-08-06,https://i1.sndcdn.com/artworks-ciD4scyyzDlpzwUj-URMKnQ-t500x500.jpg,4597000,pago,https://hoytrasnoche.com/vip/
55: El odio vence al amor,The Instigators,2024,https://letterboxd.com/film/the-instigators/,2024-08-13,https://i1.sndcdn.com/artworks-OedC9dF4PEVmTQ9F-rAyRbg-t500x500.jpg,4815000,pago,https://hoytrasnoche.com/vip/
56: She likes to rodearse con los poderosos,Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,2024-08-20,https://i1.sndcdn.com/artworks-bSpblkzcxFhy4BJ9-wzyz6w-t500x500.jpg,4046000,pago,https://hoytrasnoche.com/vip/
